  audiobargraph_v        Barra gráfica de audio  de fuente de subvídeo
  windrive               windrive
  windrive               windrive
  windrive               Discos
  upnp                   Plug'n'Play Universal
  upnp                   Plug'n'Play Universal
  upnp                   Plug'n'Play Universal
  sap                    Emisiones de red (SAP)
  sap                    Analizador de descripciones SDP
  sap                    Emisiones de red (SAP)
  podcast                Podcasts
  podcast                Podcasts
  microdns               Servicios de descubrimiento de red mDNS
  microdns               Servicios de descubrimiento de red mDNS
  microdns               Servicios de representación mDNS
  microdns               Servicios de descubrimiento de red mDNS
  mediadirs              Mis vídeos
  mediadirs              Mis vídeos
  mediadirs              Mis imágenes
  mediadirs              Mi música
  vc1                    Empaquetador VC-1
  mpegvideo              Empaquetador de vídeo MPEG-I/II
  mpegaudio              Empaquetador de capa de audio MPEG I/II/III
  mpeg4video             Empaquetador de vídeo MPEG4
  mpeg4audio             Empaquetador de audio MPEG4
  mlp                    Procesador MLP/TrueHD
  hevc                   Empaquetador de vídeo HEVC/H.265
  h264                   Empaquetador de vídeo H.264
  flac                   Empaquetador de audio Flac
  dts                    Empaquetador de audio DTS
  dirac                  Empaquetador Dirac
  copy                   Copiar empaquetador
  av1                    Empaquetador de vídeo AV1
  a52                    Empaquetador de audio A/52
  wav                    Demuxor WAV
  mux_ts                 Muxor TS (libdvbpsi)
  ps                     Muxer PS
  mux_ogg                Muxor Ogg/OGM
  mpjpeg                 Muxor JPEG multiparte
  mp4                    Muxer MP4/MOV
  mp4                    Muxor fragmentado y emitible MP4
  dummy                  Muxer simulado/raw
  avi                    Muxer AVI
  asf                    Muxer ASF
  xml                    Analizador XML (usando libxml2)
  xml                    Analizador XML (usando libxml2)
  rtsp                   Servidor obsoleto RTSP VoD
  stats                  Función estadísticas de codificador
  stats                  Función estadísticas de demuxor
  stats                  Función estadísticas de decodificador
  stats                  Función estadísticas de decodificador
  stats                  Función estadísticas de decodificador
  logger                 Archivo de registro
  gnutls                 Capa de transporte de seguridad GNU TLS
  gnutls                 Servidor GNU TLS
  fingerprinter          Seguir huella (basado en Acoustid)
  export                 export
  export                 Exportar a lista de reproducción HTML
  export                 Exportar lista de reproducción XSPF
  export                 Exportar a lista de reproducción M3U8
  export                 Exportar a lista de reproducción M3U
  audioscrobbler         Envío de canciones reproducidas a last.fm
  vorepository           Buscador de complementos addons.videolan.org
  vorepository           Buscador de complmentos de archivo único .vlp
  fsstorage              Instalador de complementos de almacenamiento local
  fsstorage              Listador de complementos almacenados localmente
  taglib                 taglib
  taglib                 taglib
  folder                 Carpeta de metadatos
  lua                    Intérprete Lua
  lua                    Intérprete Lua
  lua                    Módulo SD Lua
  lua                    Extensión Lua
  lua                    Obtener material artístico usando scripts lua
  lua                    Interfaz analizador de lista de reproducción Lua
  lua                    Leer metadatos usando secuencias de comandos lua
  lua                    Obtener metadatos usando secuencias de comandos lua
  lua                    Lua Telnet
  lua                    Interfaz de linea de comandos
  lua                    Lua HTTP
  file                   Generador de trazas de archivo
  console                Generador de trazas en la consola
  memory                 Los secretos son almacenados en memoria
  file                   Los secretos son almacenados en un archivo sin ningún cifrado
  file                   Los secretos son almacenados en un archivo cifrado
  skins2                 Interfaz con piel
  skins2                 Interfaz con piel
  qt                     Interfaz Qt
  qt                     Interfaz Qt
  qt                     Dialogs provider
  xa                     Demuxor XA
  wav                    Demuxer WAV
  voc                    Demuxor VOC
  vobsub                 Analizador de subtítulos Vobsub
  vc1                    Demuxor de vídeo VC1
  ty                     Demuxor de audio/vídeo emisión TY
  tta                    Demuxor TTA
  ts                     Demuxor de emisión de transporte MPEG
  subtitle               Analizador de subtítulos de texto
  smf                    Demuxor SMF
  sid                    Demuxor de vídeo C64
  real                   Demuxor real
  rawvid                 Demuxor de vídeo en bruto
  rawdv                  Demuxor DV (Vídeo digital)
  rawaud                 Demuxor de vídeo en bruto
  pva                    Demuxor AU
  ps                     Demuxor MPEG-PS
  ps                     Demuxor MPEG-PS
  playlist               Lista de reproducción
  playlist               Importar lista de reproducción WPL
  playlist               Importador de biblioteca de música iTunes
  playlist               Dummy IFO demux
  playlist               Importador de enlace multimedia QuickTime
  playlist               Analizador Kasenna MediaBase
  playlist               Importar lista de reproducción ASX
  playlist               Importar nuevo shoutcast de winamp 5.2
  playlist               Importar lista de reproducción XSPF
  playlist               Analizador podcast
  playlist               Importar lista de reproducción DVB
  playlist               Importar lista de reproducción B4S
  playlist               Importar lista de reproducción PLS
  playlist               Importardor de lista de reproducción RAM
  playlist               Importar lista de reproducción M3U
  ogg                    Demuxor OGG
  nuv                    Demuxor Nuv
  nsv                    Demuxor Nullsoft
  nsc                    Metademux Windows Media NSC
  noseek                 Filtro demux de prevención de búsqueda
  mpgv                   Demuxor de audio MPEG-I/II
  mpc                    Demuxor MusePack
  mp4                    Demuxor MP4 de emisión
  mod                    Demuxor MOD (libmodplug)
  mkv                    Demuxor Matroska de emisión
  mjpeg                  Demuxor de cámara M-JPEG
  image                  Demuxor de imagen
  h26x                   Demuxor de vídeo H264
  h26x                   Demuxor de vídeo HEVC/H.265
  gme                    Game Music Emu
  flacsys                Demuxer FLAC
  es                     Audio MPEG-I/II/4 / A52 / DTS / MLP
  es                     Vídeo MPEG-4
  dmxmus                 DMX music demuxer
  directory              Directorio de importación
  diracsys               Decodificador de vídeo Dirac
  demux_stl              Analizador de subtítulos EBU STL
  demux_chromecast       Envoltorio demux de Chromecast
  demux_cdg              Demuxor CDG
  demuxdump              Volcador de archivo
  caf                    Demuxor CAF
  avi                    Demuxor AVI
  au                     Demuxer AU
  asf                    Demuxor ASF/WMV
  aiff                   Demuxer AIFF
  adaptive               Transmisión adaptativa dinámica para DASH/HLS
  d3d9_filters           Ajustar filtro Direct3D9
  d3d9_filters           Ajustar filtro Direct3D9
  d3d9_filters           Ajustar filtro Direct3D9
  d3d9_filters           Direct3D9 deinterlace filter
  d3d11_filters          Direct3D11 adjust filter
  d3d11_filters          Direct3D11 adjust filter
  d3d11_filters          Direct3D11 adjust filter
  d3d11_filters          AMD Frame Rate Doubler
  d3d11_filters          AMD VQ Enhancer
  d3d11_filters          Direct3D11 deinterlace filter
  win_msg                Interfaz de mensajes Windows
  win32                  Interfaz de atajos de teclado globales
  oldrc                  Interfaz de control remoto
  ntservice              Interfaz de servicio de Windows
  netsync                Sincronización de red
  hotkeys                Interfaz de gestión de atajos de teclado
  gestures               Interfaz de control de gestos de ratón
  dummy                  Interfaz simulada
  zvbi                   Decodificador de VBI y teletexto
  x265                   Codificador H.265/HEVC (x265)
  x264                   H.264/MPEG-4 Part 10/Codificador AVC (x264)
